% Sine Stream Dataset with Abrupt Concept Drift
@RELATION sine_stream

@ATTRIBUTE feature1 REAL
@ATTRIBUTE feature2 REAL
@ATTRIBUTE feature3 REAL
@ATTRIBUTE feature4 REAL
@ATTRIBUTE class {0, 1}

@DATA
0.3745401188473625,0.9507143064099162,0.7319939418114051,0.5986584841970366,1
0.15601864044243652,0.15599452033620265,0.05808361216819946,0.8661761457749352,0
0.6011150117432088,0.7080725777960455,0.020584494295802447,0.9699098521619943,1
0.8324426408004217,0.21233911067827616,0.18182496720710062,0.18340450985343382,0
0.3042422429595377,0.5247564316322378,0.43194501864211576,0.2912291401980419,1
0.6118528947223795,0.13949386065204183,0.29214464853521815,0.3663618432936917,0
0.45606998421703593,0.7851759613930136,0.19967378215835974,0.5142344384136116,1
0.5924145688620425,0.046450412719997725,0.6075448519014384,0.17052412368729153,0
0.06505159298527952,0.9488855372533332,0.9656320330745594,0.8083973481164611,1
0.3046137691733707,0.09767211400638387,0.6842330265121569,0.4401524937396013,0
0.12203823484477883,0.4951769101112702,0.034388521115218396,0.9093204020787821,1
0.2587799816000169,0.662522284353982,0.31171107608941095,0.5200680211778108,1
0.5467102793432796,0.18485445552552704,0.9695846277645586,0.7751328233611146,0
0.9394989415641891,0.8948273504276488,0.5978999788110851,0.9218742350231168,0
0.0884925020519195,0.1959828624191452,0.045227288910538066,0.32533033076326434,1
0.388677289689482,0.2713490317738959,0.8287375091519293,0.3567533266935893,0
0.28093450968738076,0.5426960831582485,0.14092422497476265,0.8021969807540397,1
0.07455064367977082,0.9868869366005173,0.7722447692966574,0.1987156815341724,1
0.005522117123602399,0.8154614284548342,0.7068573438476171,0.7290071680409873,1
0.7712703466859457,0.07404465173409036,0.3584657285442726,0.11586905952512971,0
0.8631034258755935,0.6232981268275579,0.3308980248526492,0.06355835028602363,0
0.3109823217156622,0.32518332202674705,0.7296061783380641,0.6375574713552131,1
0.8872127425763265,0.4722149251619493,0.1195942459383017,0.713244787222995,0
0.7607850486168974,0.5612771975694962,0.770967179954561,0.49379559636439074,0
0.5227328293819941,0.42754101835854963,0.02541912674409519,0.10789142699330445,0
0.03142918568673425,0.6364104112637804,0.3143559810763267,0.5085706911647028,1
0.907566473926093,0.24929222914887494,0.41038292303562973,0.7555511385430487,0
0.22879816549162246,0.07697990982879299,0.289751452913768,0.16122128725400442,0
0.9296976523425731,0.808120379564417,0.6334037565104235,0.8714605901877177,0
0.8036720768991145,0.18657005888603584,0.8925589984899778,0.5393422419156507,0
0.8074401551640625,0.8960912999234932,0.3180034749718639,0.11005192452767676,0
0.22793516254194168,0.4271077886262563,0.8180147659224931,0.8607305832563434,1
0.006952130531190703,0.5107473025775657,0.417411003148779,0.22210781047073025,1
0.1198653673336828,0.33761517140362796,0.9429097039125192,0.32320293202075523,1
0.5187906217433661,0.7030189588951778,0.363629602379294,0.9717820827209607,1
0.9624472949421112,0.25178229582536416,0.49724850589238545,0.30087830981676966,0
0.2848404943774676,0.036886947354532795,0.6095643339798968,0.5026790232288615,0
0.05147875124998935,0.27864646423661144,0.9082658859666537,0.23956189066697242,1
0.1448948720912231,0.489452760277563,0.9856504541106007,0.2420552715115004,1
0.6721355474058786,0.7616196153287176,0.23763754399239967,0.7282163486118596,1
0.3677831327192532,0.6323058305935795,0.6335297107608947,0.5357746840747585,1
0.0902897700544083,0.835302495589238,0.32078006497173583,0.18651851039985423,1
0.040775141554763916,0.5908929431882418,0.6775643618422824,0.016587828927856152,1
0.512093058299281,0.22649577519793795,0.6451727904094499,0.17436642900499144,0
0.690937738102466,0.3867353463005374,0.9367299887367345,0.13752094414599325,0
0.3410663510502585,0.11347352124058907,0.9246936182785628,0.877339353380981,0
0.2579416277151556,0.659984046034179,0.8172222002012158,0.5552008115994623,1
0.5296505783560065,0.24185229090045168,0.09310276780589921,0.8972157579533268,0
